temperature,line_speed,shift,operator_experience,machine_age,defect
82.75,86.51,Day,6.5,36.9,0
82.14,86.57,Day,5.5,23.9,0
70.31,74.65,Night,9.6,24.6,0
89.32,98.83,Night,3.1,15.2,0
69.22,68.82,Day,3.2,18.2,0
79.35,94.95,Night,5.5,35.2,0
75.15,80.34,Day,5.8,19.3,0
73.39,63.84,Day,6.2,18.3,0
88.85,82.09,Night,4.8,34.7,0
77.36,100.86,Day,7.6,19.2,0
82.29,90.03,Night,3.5,13.8,0
78.58,83.6,Day,5.4,12.1,0
73.8,95.61,Night,9.9,19.3,0
101.39,74.55,Night,7.9,35.1,0
79.06,90.05,Day,4.5,39.3,0
85.61,87.87,Night,2.6,30.3,0
76.55,83.99,Day,4.7,14.1,0
97.56,89.87,Night,7.8,19.1,0
80.26,92.99,Day,6.6,21.3,0
74.36,89.7,Day,2.5,25.3,0
80.52,69.0,Day,0.9,30.6,0
84.65,78.0,Night,6.7,22.9,0
74.99,101.28,Day,1.5,37.9,0
72.8,95.93,Day,6.7,30.3,0
77.57,100.28,Day,5.9,23.1,0
74.59,84.95,Day,5.3,15.8,0
75.44,97.4,Night,8.5,21.3,0
86.63,72.37,Day,4.8,29.0,0
76.38,81.77,Day,7.7,24.0,0
76.41,91.56,Night,7.5,39.1,0
74.04,102.43,Day,5.8,38.7,0
80.15,89.76,Night,6.6,18.0,0
107.34,104.23,Day,3.8,31.0,0
77.26,104.68,Day,4.0,21.3,1
67.08,78.57,Day,5.0,21.8,0
86.23,65.28,Day,6.4,29.9,0
75.48,80.22,Day,9.6,17.2,0
81.34,74.5,Night,9.3,17.9,0
80.68,78.39,Day,6.9,15.9,0
81.48,100.85,Night,9.4,8.3,0
89.92,106.11,Day,8.2,42.5,0
74.81,100.09,Day,4.0,23.4,0
85.98,79.6,Night,5.4,11.1,0
84.25,73.48,Night,5.5,30.5,0
100.09,61.74,Day,4.7,19.5,0
84.19,72.35,Day,6.5,26.0,0
89.0,71.11,Night,5.7,16.5,0
71.72,64.02,Night,6.6,31.4,0
75.13,105.0,Day,6.1,24.5,0
75.17,93.64,Day,6.5,29.1,0
72.6,109.05,Day,4.7,14.3,0
71.78,84.46,Day,3.7,23.7,0
82.51,84.26,Day,6.8,22.6,0
85.26,79.52,Night,3.1,31.5,0
76.35,77.06,Day,2.3,24.8,1
72.16,96.97,Day,5.4,23.8,0
70.46,95.68,Day,6.3,20.5,0
72.49,96.84,Day,6.3,22.3,0
81.69,79.58,Night,6.9,17.7,0
88.66,38.41,Night,3.9,17.2,0
69.76,92.21,Night,6.8,19.0,0
87.12,101.69,Day,8.4,27.7,1
77.37,69.86,Day,7.9,34.9,0
82.22,80.08,Day,5.4,37.9,0
76.94,72.33,Day,9.3,25.7,0
75.45,67.06,Day,7.3,30.2,0
76.98,83.87,Day,4.4,33.0,0
68.92,75.99,Day,4.8,39.4,0
82.31,102.42,Night,3.9,23.8,0
77.19,76.52,Day,4.2,24.9,0
75.44,70.44,Day,6.4,12.2,0
85.75,93.8,Night,6.9,31.2,0
74.17,75.33,Day,5.7,28.2,0
80.33,80.06,Day,11.3,12.3,0
74.95,72.93,Day,5.0,19.2,0
79.4,81.18,Day,6.5,22.2,0
76.55,100.01,Day,8.3,12.9,0
71.43,108.25,Day,1.3,20.2,0
88.63,92.41,Night,8.9,26.7,0
80.85,86.13,Night,3.0,12.3,0
73.14,68.34,Day,5.2,36.6,0
71.89,76.02,Day,5.3,32.7,0
84.46,87.99,Day,6.3,17.6,0
80.19,58.78,Day,3.8,35.9,0
77.98,69.5,Day,2.4,28.4,0
86.19,78.49,Night,8.6,28.5,0
73.36,80.82,Day,7.6,32.0,0
76.86,78.39,Day,6.7,15.3,0
85.7,96.58,Day,5.1,22.7,0
79.69,75.46,Night,5.2,44.8,0
74.53,75.42,Day,5.9,35.4,0
63.52,60.35,Day,5.8,28.2,0
74.36,89.2,Day,4.5,20.8,0
85.61,76.44,Day,8.1,15.5,0
76.22,87.14,Day,9.4,36.7,0
80.69,99.51,Day,0.9,21.8,0
78.05,71.36,Day,6.9,11.7,0
80.57,95.71,Day,5.7,19.9,0
68.83,80.96,Night,8.9,25.0,0
78.51,80.0,Day,6.4,13.2,0
71.52,88.32,Night,4.4,20.8,0
76.49,78.5,Day,5.0,27.8,0
77.47,94.97,Night,1.9,21.9,0
83.12,92.72,Night,4.9,17.1,0
85.79,79.76,Day,4.7,12.9,0
74.33,93.12,Day,5.1,27.3,0
70.18,81.8,Day,3.1,29.9,0
70.83,67.9,Day,4.4,29.6,0
80.69,99.53,Day,5.6,36.9,0
72.15,84.76,Day,4.2,39.4,0
88.2,116.13,Day,5.3,26.6,0
72.61,76.64,Day,3.4,11.2,0
73.81,102.94,Night,4.3,28.9,0
84.36,98.47,Night,5.4,20.4,0
75.89,67.74,Day,7.6,28.7,0
83.13,96.3,Day,6.4,5.6,0
83.12,96.2,Day,5.7,19.8,0
80.32,74.82,Day,3.9,37.9,0
118.85,88.24,Night,4.6,27.4,0
83.38,94.7,Night,7.3,34.5,0
86.77,94.9,Night,2.7,21.8,0
88.1,90.65,Day,7.6,16.8,0
70.56,95.59,Day,1.6,25.1,0
80.51,104.7,Night,4.3,21.9,0
83.24,71.1,Day,6.4,11.3,0
73.3,89.92,Night,7.7,28.7,0
80.25,87.99,Day,5.7,9.4,0
85.65,93.43,Night,4.3,12.5,0
80.04,102.07,Day,6.2,27.8,0
82.08,63.3,Day,9.6,21.6,0
80.27,76.69,Day,7.3,35.3,0
72.45,80.08,Day,7.8,32.8,0
74.88,94.71,Day,5.4,10.4,0
71.75,76.07,Night,5.6,35.7,0
76.13,102.68,Day,3.0,25.0,1
78.6,96.06,Night,7.0,28.7,0
66.64,84.96,Day,6.3,21.1,0
83.09,73.03,Day,3.2,18.4,0
85.1,74.24,Night,8.2,8.4,0
77.24,98.09,Night,5.4,28.2,0
82.63,64.99,Day,6.1,28.5,0
82.57,103.53,Day,2.7,24.5,0
72.46,72.38,Day,7.8,15.5,0
79.19,92.24,Night,4.3,23.7,0
72.65,75.56,Day,3.5,26.4,0
74.94,76.38,Day,4.9,24.7,0
76.93,74.95,Night,6.7,29.3,0
75.09,93.33,Night,3.1,15.9,0
70.77,63.26,Day,7.3,18.9,0
76.1,73.65,Day,2.1,13.4,0
72.58,65.23,Day,5.8,11.9,0
76.47,93.87,Night,7.1,42.9,0
80.16,68.33,Night,6.4,22.5,0
79.44,63.35,Day,7.1,31.4,0
75.83,104.46,Day,3.7,27.1,0
